State,2016EV,2016REP,2016DEM,2012EV,2012REP,2012DEM,2008EV,2008REP,2008DEM,2004EV,2004REP,2004DEM,2000EV,2000REP,2000DEM,1996EV,1996REP,1996DEM,ProbDEM,ProbREP
OK,7,0.6532,0.2893,7,0.6677,0.3323,7,0.6565,0.3435,7,0.6557,0.3443,8,0.6031,0.3843,8,0.4826,0.4045,0,1
OR,7,0.3909,0.5007,7,0.4515,0.5424,7,0.404,0.5675,7,0.4719,0.5135,7,0.4652,0.4696,7,0.3906,0.4715,0.96,0.04
PA,20,0.4818,0.4746,20,0.4659,0.5197,21,0.4417,0.5449,21,0.4842,0.5092,23,0.4643,0.506,23,0.3997,0.4917,0.53,0.47
RI,4,0.389,0.5441,4,0.3524,0.627,4,0.3506,0.6268,4,0.3867,0.5942,4,0.3191,0.6099,4,0.2682,0.5971,1,0
SC,9,0.5494,0.4067,9,0.5456,0.4409,8,0.5387,0.449,8,0.5798,0.409,8,0.5684,0.409,8,0.4979,0.4396,0,1
SD,3,0.6153,0.3174,3,0.5789,0.3987,3,0.5316,0.4475,3,0.5991,0.3844,3,0.603,0.3756,3,0.4949,0.4303,0,1
TN,11,0.6072,0.3472,11,0.5948,0.3908,11,0.569,0.4183,11,0.568,0.4253,11,0.5115,0.4728,11,0.4559,0.48,0,1
TX,38,0.5223,0.4324,38,0.5717,0.4138,34,0.5545,0.4368,34,0.6109,0.3822,32,0.593,0.3798,32,0.4876,0.4383,0,1
UT,6,0.4554,0.2746,6,0.7279,0.2479,5,0.6258,0.3441,5,0.7154,0.26,5,0.6683,0.2634,5,0.5437,0.333,0,1
VT,3,0.3027,0.5668,3,0.3097,0.6657,3,0.3045,0.6746,3,0.388,0.5894,3,0.407,0.5063,3,0.3109,0.5335,1,0
VA,13,0.4441,0.4973,13,0.4728,0.5156,13,0.4633,0.5263,13,0.5368,0.4548,13,0.5247,0.4444,13,0.471,0.4515,0.53,0.47
WA,12,0.3683,0.5254,12,0.4129,0.5616,11,0.4048,0.5765,11,0.4564,0.5282,11,0.4458,0.5016,11,0.373,0.4984,0.96,0.04
WV,5,0.685,0.2643,5,0.623,0.3554,5,0.5571,0.4259,5,0.5606,0.432,5,0.5192,0.4559,5,0.3676,0.515,0,1
WI,10,0.4722,0.4645,10,0.4589,0.5283,10,0.4231,0.5622,10,0.4932,0.497,11,0.4761,0.4783,11,0.3848,0.4881,0.64,0.36
WY,3,0.617,0.2188,3,0.6884,0.2782,3,0.6478,0.3254,3,0.6886,0.2907,3,0.6776,0.277,3,0.4981,0.3684,0,1
